x,y,SNOW_ON_GROUND,MIN_TEMPERATURE,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,STATION_NAME,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,ID,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,SPEED_MAX_GUST,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW
-72.45,48.88333333333333,,-15,-10,,0,,30.5,,0,,ALBANEL,1941-02-11 00:00:00,QC,,,,7060080.1941.2.11,7060080,0,,,-12.5,1941,,,,,2,,11,,,,0
-72.45,48.88333333333333,,-29.4,-15.6,,0,,40.5,,0,,ALBANEL,1941-02-12 00:00:00,QC,,,,7060080.1941.2.12,7060080,0,,,-22.5,1941,,,,,2,,12,,,,0
-72.45,48.88333333333333,,-23.9,-2.2,,0,,31.1,,0,,ALBANEL,1941-02-13 00:00:00,QC,,,,7060080.1941.2.13,7060080,0,,,-13.1,1941,,,,,2,,13,,,,0
-72.45,48.88333333333333,,-3.9,2.2,,2,,18.9,,2,,ALBANEL,1941-02-14 00:00:00,QC,,,,7060080.1941.2.14,7060080,0,,,-0.9,1941,,,,,2,,14,,,,0
-72.45,48.88333333333333,,-5,-5,,0,,23,,0,,ALBANEL,1941-02-15 00:00:00,QC,,,,7060080.1941.2.15,7060080,0,,,-5,1941,,,,,2,,15,,,,0
-72.45,48.88333333333333,,-19.4,-12.2,,0,,33.8,,0,,ALBANEL,1941-02-16 00:00:00,QC,,,,7060080.1941.2.16,7060080,0,,,-15.8,1941,,,,,2,,16,,,,0
-72.45,48.88333333333333,,-19.4,-13.9,,0,,34.7,,0,,ALBANEL,1941-02-17 00:00:00,QC,,,,7060080.1941.2.17,7060080,0,,,-16.7,1941,,,,,2,,17,,,,0
-72.45,48.88333333333333,,-16.7,-13.9,,0,,33.3,,0,,ALBANEL,1941-02-18 00:00:00,QC,,,,7060080.1941.2.18,7060080,0,,,-15.3,1941,,,,,2,,18,,,,0
-72.45,48.88333333333333,,-17.8,-13.9,,0,,33.9,,0,,ALBANEL,1941-02-19 00:00:00,QC,,,,7060080.1941.2.19,7060080,0,,,-15.9,1941,,,,,2,,19,,,,0
-72.45,48.88333333333333,,-16.7,-4.4,,0,,28.6,,0,,ALBANEL,1941-02-20 00:00:00,QC,,,,7060080.1941.2.20,7060080,0,,,-10.6,1941,,,,,2,,20,,,,0
-72.45,48.88333333333333,,-5.6,1.7,,0,,20,,0,,ALBANEL,1941-02-21 00:00:00,QC,,,,7060080.1941.2.21,7060080,0,,,-2,1941,,,,,2,,21,,,,0
-72.45,48.88333333333333,,-7.8,0.6,,0,,21.6,,0,,ALBANEL,1941-02-22 00:00:00,QC,,,,7060080.1941.2.22,7060080,0,,,-3.6,1941,,,,,2,,22,,,,0
-72.45,48.88333333333333,,-6.1,-4.4,,0,,23.3,,0,,ALBANEL,1941-02-23 00:00:00,QC,,,,7060080.1941.2.23,7060080,0,,,-5.3,1941,,,,,2,,23,,,,0
-72.45,48.88333333333333,,-17.8,-7.8,,0,,30.8,,0,,ALBANEL,1941-02-24 00:00:00,QC,,,,7060080.1941.2.24,7060080,0,,,-12.8,1941,,,,,2,,24,,,,0
-72.45,48.88333333333333,,-19.4,-4.4,,0,,29.9,,0,,ALBANEL,1941-02-25 00:00:00,QC,,,,7060080.1941.2.25,7060080,0,,,-11.9,1941,,,,,2,,25,,,,0
-72.45,48.88333333333333,,-18.3,-12.2,,0,,33.3,,0,,ALBANEL,1941-02-26 00:00:00,QC,,,,7060080.1941.2.26,7060080,0,,,-15.3,1941,,,,,2,,26,,,,0
-72.45,48.88333333333333,,-18.9,-11.1,,0,,33,,0,,ALBANEL,1941-02-27 00:00:00,QC,,,,7060080.1941.2.27,7060080,0,,,-15,1941,,,,,2,,27,,,,0
-72.45,48.88333333333333,,-21.7,,,0,,,,0,,ALBANEL,1941-02-28 00:00:00,QC,,,M,7060080.1941.2.28,7060080,,,,,1941,,,,M,2,M,28,M,,,0
-72.45,48.88333333333333,,-13.3,-2.2,,0,,25.8,,0,,ALBANEL,1941-03-01 00:00:00,QC,,,,7060080.1941.3.1,7060080,0,,,-7.8,1941,,,,,3,,1,,,,0
-72.45,48.88333333333333,,-13.3,-1.7,,0,,25.5,,0,,ALBANEL,1941-03-02 00:00:00,QC,,,,7060080.1941.3.2,7060080,0,,,-7.5,1941,,,,,3,,2,,,,0
-72.45,48.88333333333333,,-17.2,-10.6,,0,,31.9,,0,,ALBANEL,1941-03-03 00:00:00,QC,,,,7060080.1941.3.3,7060080,0,,,-13.9,1941,,,,,3,,3,,,,0
-72.45,48.88333333333333,,-22.8,-6.1,,0,,32.5,,0,,ALBANEL,1941-03-04 00:00:00,QC,,,,7060080.1941.3.4,7060080,0,,,-14.5,1941,,,,,3,,4,,,,0
-72.45,48.88333333333333,,-19.4,-9.4,,0,,32.4,,0,,ALBANEL,1941-03-05 00:00:00,QC,,,,7060080.1941.3.5,7060080,0,,,-14.4,1941,,,,,3,,5,,,,0
-72.45,48.88333333333333,,-21.7,-9.4,,0,,33.6,,0,,ALBANEL,1941-03-06 00:00:00,QC,,,,7060080.1941.3.6,7060080,0,,,-15.6,1941,,,,,3,,6,,,,0
-72.45,48.88333333333333,,-20,-9.4,,0,,32.7,,0,,ALBANEL,1941-03-07 00:00:00,QC,,,,7060080.1941.3.7,7060080,0,,,-14.7,1941,,,,,3,,7,,,,0
-72.45,48.88333333333333,,-21.1,-2.2,,0,,29.7,,0,,ALBANEL,1941-03-08 00:00:00,QC,,,,7060080.1941.3.8,7060080,0,,,-11.7,1941,,,,,3,,8,,,,0
-72.45,48.88333333333333,,-15,-3.3,,0,,27.2,,0,,ALBANEL,1941-03-09 00:00:00,QC,,,,7060080.1941.3.9,7060080,0,,,-9.2,1941,,,,,3,,9,,,,0
-72.45,48.88333333333333,,-10.6,-0.6,,0,,23.6,,0,,ALBANEL,1941-03-10 00:00:00,QC,,,,7060080.1941.3.10,7060080,0,,,-5.6,1941,,,,,3,,10,,,,0
-72.45,48.88333333333333,,-18.3,-3.3,,0,,28.8,,0,,ALBANEL,1941-03-11 00:00:00,QC,,,,7060080.1941.3.11,7060080,0,,,-10.8,1941,,,,,3,,11,,,,0
-72.45,48.88333333333333,,-17.2,-1.7,,0,,27.5,,0,,ALBANEL,1941-03-12 00:00:00,QC,,,,7060080.1941.3.12,7060080,0,,,-9.5,1941,,,,,3,,12,,,,0
-72.45,48.88333333333333,,-15.6,-1.1,,0,,26.4,,0,,ALBANEL,1941-03-13 00:00:00,QC,,,,7060080.1941.3.13,7060080,0,,,-8.4,1941,,,,,3,,13,,,,0
-72.45,48.88333333333333,,-8.9,-1.1,,0,,23,,0,,ALBANEL,1941-03-14 00:00:00,QC,,,,7060080.1941.3.14,7060080,0,,,-5,1941,,,,,3,,14,,,,0
-72.45,48.88333333333333,,-18.3,5,,0,,24.7,,0,,ALBANEL,1941-03-15 00:00:00,QC,,,,7060080.1941.3.15,7060080,0,,,-6.7,1941,,,,,3,,15,,,,0
-72.45,48.88333333333333,,-2.8,5,,0.3,,16.9,,0.3,,ALBANEL,1941-03-16 00:00:00,QC,,,,7060080.1941.3.16,7060080,0,,,1.1,1941,,,,,3,,16,,,,0
-72.45,48.88333333333333,,0,5,,0,,15.5,,20.3,,ALBANEL,1941-03-17 00:00:00,QC,,,,7060080.1941.3.17,7060080,0,,,2.5,1941,,,,,3,,17,,,,20.3
-72.45,48.88333333333333,,-18.9,-0.6,,0,,27.8,,20.3,,ALBANEL,1941-03-18 00:00:00,QC,,,,7060080.1941.3.18,7060080,0,,,-9.8,1941,,,,,3,,18,,,,20.3
-72.45,48.88333333333333,,-17.8,-6.7,,0,,30.3,,7.6,,ALBANEL,1941-03-19 00:00:00,QC,,,,7060080.1941.3.19,7060080,0,,,-12.3,1941,,,,,3,,19,,,,7.6
-72.45,48.88333333333333,,-16.7,-13.3,,0,,33,,0,,ALBANEL,1941-03-20 00:00:00,QC,,,,7060080.1941.3.20,7060080,0,,,-15,1941,,,,,3,,20,,,,0
-72.45,48.88333333333333,,-12.2,-1.1,,0,,24.7,,0,,ALBANEL,1941-03-21 00:00:00,QC,,,,7060080.1941.3.21,7060080,0,,,-6.7,1941,,,,,3,,21,,,,0
-72.45,48.88333333333333,,-10,3.3,,0,,21.4,,0,,ALBANEL,1941-03-22 00:00:00,QC,,,,7060080.1941.3.22,7060080,0,,,-3.4,1941,,,,,3,,22,,,,0
-72.45,48.88333333333333,,-6.1,3.9,,0,,19.1,,0,,ALBANEL,1941-03-23 00:00:00,QC,,,,7060080.1941.3.23,7060080,0,,,-1.1,1941,,,,,3,,23,,,,0
-72.45,48.88333333333333,,-4.4,3.9,,0,,18.3,,0,,ALBANEL,1941-03-24 00:00:00,QC,,,,7060080.1941.3.24,7060080,0,,,-0.3,1941,,,,,3,,24,,,,0
-72.45,48.88333333333333,,-3.9,4.4,,0.5,,17.7,,1.8,,ALBANEL,1941-03-25 00:00:00,QC,,,,7060080.1941.3.25,7060080,0,,,0.3,1941,,,,,3,,25,,,,1.3
